PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning> Get-Command -Module *PnP*

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        Disable-PnpDevice                                  1.0.0.0    PnpDevice
Function        Enable-PnpDevice                                   1.0.0.0    PnpDevice
Function        Get-PnpDevice                                      1.0.0.0    PnpDevice
Function        Get-PnpDeviceProperty                              1.0.0.0    PnpDevice
Cmdlet          Add-PnPApp                                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPClientSidePage                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPClientSidePageSection                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPClientSideText                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPClientSideWebPart                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPContentType                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPContentTypeToDocumentSet                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPContentTypeToList                           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPCustomAction                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPDataRowsToProvisioningTemplate              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPDocumentSet                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPEventReceiver                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPField                                       2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPFieldFromXml                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPFieldToContentType                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPFile                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPFileToProvisioningTemplate                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPFolder                                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPHtmlPublishingPageLayout                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPIndexedProperty                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPJavaScriptBlock                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPJavaScriptLink                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPListFoldersToProvisioningTemplate           2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPListItem                                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPMasterPage                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPNavigationNode                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPOffice365GroupToSite                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPPublishingImageRendition                    2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPPublishingPage                              2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPPublishingPageLayout                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPSiteClassification                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPSiteCollectionAdmin                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPSiteDesign                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Add-PnPSiteScript                                  2.22.18... SharePointPnPPowerShellOnline
